# Same as full_M.txt
# MatrixMarket matrix coordinate real general
20 10 30 # m n nz
(0, 0)    1.2062096802023106
0   1    1.1858021706014787
( 0   8)    -.8364411059773718
# Comment in the middle
(1 ,   5)    .06549931869363637
1   6    -.43757297874314777
3   0    .24377109290731622
3   3    .12912387588317645
3   6    .03609558542121869
3   9    -.19490208131742706
4   0    -.6826851638370695
4   8    -.019040698523679556
4   9    .6594824151374936
8   0    1.387277110503339
9   5    -.4184053330221895
9   7    -1.5392793470000692
9   9    -.47124459812224095
10  2    .19155196924474954
10  3    -.29265340026667097
11  2    -.6656365120699576
12  2    .24456093757013614
12  7    .6020828717668133
12  9    -1.6112936731013185
13  5    -1.3341857706427018
14  2    -.3693325297535832
15  7    -.7869311948276335
16  4    -.20234584951364942
17  1    -1.4616942013922833
17  3    .11569413110455909
18  1    -.1604614355941666
18  8    -.7747180576322339
# last line comment
